##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Elko, NV	722	3	86	16	13.5	44428
Esmeralda, NV	4	0	1	0	24.6	774
Eureka, NV	7	0	0	0	24.2	1373
Humboldt, NV	143	1	30	5	16.5	16989
Lander, NV	81	0	4	3	17	4865
Lincoln, NV	22	0	6	0	22	4334
Lyon, NV	545	1	77	8	15.6	46607
Mineral, NV	21	0	7	0	9.5	4794
Nye, NV	720	4	151	9	12.1	39857
Pershing, NV	73	0	8	1	30.5	6334
Storey, NV	29	0	4	0	22.9	4018
Washoe, NV	10772	14	2236	539	14.4	390863
White Pine, NV	124	2	19	1	11.6	8800
Carson City city, NV	948	2	115	27	14.6	55731
##NEW HAMPSHIRE	16031	16	1198	330	6.6	1301415
Belknap, NH	1028	0	68	11	6.8	60962
Carroll, NH	619	1	50	5	11	46677
Cheshire, NH	444	0	49	19	7.5	76830
Coos, NH	226	1	15	3	6.1	32790
Grafton, NH	1209	1	32	5	6.3	84676
Hillsborough, NH	6041	7	512	196	6.5	398927
Merrimack, NH	1564	1	115	21	6.5	146275
Rockingham, NH	2828	3	239	47	6.3	293010
Strafford, NH	1550	1	75	19	5.7	118978
Sullivan, NH	522	1	43	4	6.6	42290
##NEW JERSEY	136729	417	27684	13215	10.5	8621837
Atlantic, NJ	8472	16	463	562	11.6	268318
Bergen, NJ	9637	7	1135	368	13.2	887322
Burlington, NJ	5808	6	583	270	9.9	446462
Camden, NJ	11000	40	1808	1101	9	514960
Cape May, NJ	3429	2	154	76	10.1	98558
Cumberland, NJ	4259	8	380	411	7.5	152489
Essex, NJ	14694	147	9877	3217	9.8	778819
Gloucester, NJ	5341	2	405	178	11.9	276680
Hudson, NJ	10550	49	3388	2250	12.9	596488
Hunterdon, NJ	851	6	64	7	9.6	128734
Mercer, NJ	6184	34	1077	1009	8.5	361882
Middlesex, NJ	11379	13	1555	638	13.2	778018
Monmouth, NJ	9735	8	684	415	8.6	641823
Morris, NJ	4752	2	351	134	9.3	483198
Ocean, NJ	7830	2	459	192	8.6	556525
Passaic, NJ	6985	29	1741	1050	9.5	489211
Salem, NJ	1051	5	99	56	8.5	65465
Somerset, NJ	3430	3	288	137	9	314967
Sussex, NJ	1394	1	78	5	10.2	150764
Union, NJ	8899	36	3019	1128	12.1	521987
Warren, NJ	1049	1	76	11	10.9	109167
##NEW MEXICO	47983	133	7500	1845	16.6	1916538
Bernalillo, NM	22688	64	4325	1273	14.9	607825
Catron, NM	0	0	0	1	35.2	3298
Chaves, NM	2497	12	175	29	15.5	61321
Cibola, NM	272	1	51	12	12.3	27178
Colfax, NM	111	0	7	4	19.2	13490
Curry, NM	1303	2	127	36	15.7	45951
De Baca, NM	0	0	0	0	26.2	1999
Dona Ana, NM	4061	8	420	119	16.5	189265
Eddy, NM	1255	2	98	17	16.3	50236
Grant, NM	587	1	52	11	17	29296
Guadalupe, NM	4	0	0	0	17	4457
Harding, NM	0	0	1	0	36.1	740
Hidalgo, NM	4	0	5	1	18.2	4961
Lea, NM	2608	5	111	23	18.1	56109
Lincoln, NM	269	1	24	2	22	20741
Los Alamos, NM	178	0	18	0	12.8	18594
Luna, NM	397	0	124	8	15.4	26134
McKinley, NM	1642	1	151	58	11.7	70624
Mora, NM	2	0	2	1	25.8	5063
Otero, NM	1011	0	42	9	19.4	63322
Quay, NM	68	0	7	1	16.6	9138
Rio Arriba, NM	0	0	0	0	21.6	40546
Roosevelt, NM	145	1	13	0	16.5	18817
Sandoval, NM	1057	3	152	23	14.2	105720
San Juan, NM	2189	4	358	47	18.8	121912
San Miguel, NM	450	1	47	14	17.3	29051
Santa Fe, NM	2280	6	214	79	23.6	139809
Sierra, NM	237	0	22	5	16.9	12596
Socorro, NM	309	0	18	1	16.8	18187
Taos, NM	440	1	28	9	20.8	31200
Torrance, NM	67	0	16	2	12.9	16712
Union, NM	7	0	1	0	29.6	3781
Valencia, NM	1222	7	615	35	16.9	68465
##NEW YORK	298000	869	35443	35004	7.8	19330891
Albany, NY	7886	12	570	511	7.8	298605
Allegany, NY	677	0	21	5	8.9	49824
Bronx, NY	0	0	0	0	3.9	1364566
Broome, NY	4733	6	104	97	7.9	196103
Cattaraugus, NY	1799	1	64	8	6.8	81389
Cayuga, NY	1200	2	20	22	7.4	80532
Chautauqua, NY	2644	3	107	76	10.6	134998
Chemung, NY	2114	4	64	46	6.1	88351
Chenango, NY	690	0	16	3	8.3	50994
Clinton, NY	1360	2	26	16	7.5	81690
Columbia, NY	604	1	14	6	11.8	62839
Cortland, NY	894	0	42	15	6.9	48315
Delaware, NY	458	1	13	3	12.1	46820
Dutchess, NY	3728	5	249	212	10.6	291586
Erie, NY	19942	59	2930	1959	6.8	923820
Essex, NY	364	1	11	2	11	38197
Franklin, NY	423	1	23	2	7.4	50305
Fulton, NY	1130	1	66	8	6.7	54969
Genesee, NY	1367	1	27	10	9.2	58701
Greene, NY	456	0	23	4	10.2	48917
Hamilton, NY	53	1	0	0	21.5	5128
Herkimer, NY	896	0	22	13	11.2	62873
Jefferson, NY	2167	8	105	33	9.3	116982
Kings, NY	122747	540	18405	24790	6.9	2511408
Lewis, NY	160	0	14	1	10.4	26199
Livingston, NY	1574	1	30	5	8.1	63497
Madison, NY	933	1	18	11	7.9	69527
Monroe, NY	17753	57	2855	1231	5.9	731773
Montgomery, NY	299	0	5	3	8.3	48634
Nassau, NY	13366	24	2003	1189	9	1355194
New York, NY	0	0	0	0	7.2	1606275
Niagara, NY	4432	7	433	319	6.3	215508
Oneida, NY	3858	10	191	156	6.5	231563
Onondaga, NY	8022	19	1130	651	7.3	454625
Ontario, NY	1212	0	62	24	14	103302
Orange, NY	5619	8	384	329	11	370074
Orleans, NY	482	2	26	4	7.7	42723
Oswego, NY	1878	1	73	27	6.3	121978
Otsego, NY	806	4	32	18	14.5	62474
Putnam, NY	748	0	59	25	15	99228
Queens, NY	0	0	0	0	7.6	2256576
Rensselaer, NY	2711	4	286	93	7.9	153909
Richmond, NY	0	0	0	0	7.1	475014
Rockland, NY	3504	5	176	124	8.3	294636
St. Lawrence, NY	1830	4	66	7	7.3	110072
Saratoga, NY	2045	1	108	22	8.3	213245
Schenectady, NY	3695	8	368	279	8.8	148687
Schoharie, NY	376	0	11	1	10.9	31911
Schuyler, NY	195	0	5	0	9.2	19037
Seneca, NY	430	0	15	2	12.9	34318
Steuben, NY	1486	1	53	16	7.1	97287
Suffolk, NY	22173	31	2375	1157	10.2	1504285
Sullivan, NY	1316	0	79	46	14	75591
Tioga, NY	342	2	23	1	9.7	50673
Tompkins, NY	1209	0	46	10	10.7	99698
Ulster, NY	2746	3	169	105	10	181305
Warren, NY	997	2	20	11	9.3	65322
Washington, NY	594	1	37	5	8.5	62070
Wayne, NY	1508	1	83	18	9.4	92175
Westchester, NY	10699	23	1259	1270	8.6	947719
Wyoming, NY	467	0	25	1	9.3	42257
Yates, NY	203	0	2	2	10.2	24618
##NORTH CAROLINA	214729	571	27807	12426	11.2	8669452
Alamance, NC	3835	8	273	126	11.5	139280
Alexander, NC	440	2	66	8	15.3	35606
Alleghany, NC	24	0	2	0	14.9	10713
Anson, NC	516	0	64	25	6.9	25461
Ashe, NC	35	1	1	0	14.7	25100
Avery, NC	112	2	19	0	15.7	17843
Beaufort, NC	851	2	75	33	10.8	45463
Bertie, NC	277	0	35	6	7.2	18985
Bladen, NC	676	1	66	9	9.5	32542
Brunswick, NC	1922	5	227	37	14.4	88221
Buncombe, NC	5268	7	915	261	10.9	218684
Burke, NC	1422	6	176	27	8.8	88574
Cabarrus, NC	3029	6	376	114	11.6	148682
Caldwell, NC	1330	4	153	20	8.3	78736
Camden, NC	28	0	3	1	18.7	8893
Carteret, NC	1200	4	88	25	11.8	62273
Caswell, NC	263	3	39	9	12.3	23320
Catawba, NC	4516	7	586	156	11.8	150673
Chatham, NC	723	4	90	19	22.8	57849
Cherokee, NC	401	2	38	1	11.8	25489
Chowan, NC	188	1	21	3	9.9	14352
Clay, NC	69	1	21	0	16.4	9694
Cleveland, NC	2406	5	252	121	7.3	97400
Columbus, NC	1667	8	196	68	8.3	53762
Craven, NC	2430	3	157	72	11.6	95124
Cumberland, NC	11683	22	1185	620	8.2	305097
Currituck, NC	396	0	19	3	19	22857
Dare, NC	1188	1	41	10	19.1	33659
Davidson, NC	3578	1	424	114	10.4	153081
Davie, NC	548	0	53	7	15.9	38722
Duplin, NC	788	6	128	26	20.2	51245
Durham, NC	9567	37	1039	662	10.5	243674
Edgecombe, NC	1695	5	126	79	5.4	53392
Forsyth, NC	10143	18	1181	654	9.8	331522
Franklin, NC	628	2	70	16	12.9	54232
Gaston, NC	6010	11	855	328	8.3	194759
Gates, NC	63	2	8	5	14.7	11081
Graham, NC	0	0	0	0	17.1	7940
Granville, NC	1125	2	89	55	10.6	53251
Greene, NC	221	0	26	12	14.8	19757
Guilford, NC	14029	40	1833	1059	10.2	445378
Halifax, NC	1543	9	169	71	7.3	55477
Harnett, NC	2041	6	293	87	13.7	102715
Haywood, NC	935	2	115	10	9.4	55828
Henderson, NC	1819	4	208	49	14	96369
Hertford, NC	675	0	45	25	8.6	23280
Hoke, NC	613	1	97	28	10.4	39752
Hyde, NC	24	0	0	0	13.4	5390
Iredell, NC	2923	10	315	101	11.8	140142
Jackson, NC	646	1	54	5	11	35682
Johnston, NC	2520	6	330	95	17.7	145097
Jones, NC	193	1	17	3	15.6	10075
Lee, NC	1443	6	171	68	13.8	55441
Lenoir, NC	2384	9	150	76	8	57385
Lincoln, NC	555	0	40	16	14.9	68967
McDowell, NC	614	3	92	19	10.8	43113
Macon, NC	387	1	39	1	14.5	31708
Madison, NC	131	1	25	0	12.5	19973
Martin, NC	673	3	57	18	8.3	24049
Mecklenburg, NC	29890	88	7453	3768	11	800486
Mitchell, NC	2	0	0	0	11.9	15806
Montgomery, NC	550	2	53	10	13.4	27102
Moore, NC	1295	2	142	55	18.4	80790
Nash, NC	2900	9	252	167	9.4	90434
New Hanover, NC	6270	8	861	347	9.6	182408
Northampton, NC	174	1	37	10	11.3	21018
Onslow, NC	827	0	43	25	9.7	158942
Orange, NC	3018	5	194	118	12.1	119632
Pamlico, NC	57	0	1	2	12.7	12580
Pasquotank, NC	1001	2	107	42	8.8	38264
Pender, NC	582	0	102	11	15.7	45813
Perquimans, NC	135	2	25	13	13.1	11783
Person, NC	585	2	38	25	8.7	36963
Pitt, NC	4298	15	319	224	8	144176
Polk, NC	192	2	30	3	16.8	18859
Randolph, NC	3475	10	276	56	10.7	136568
Richmond, NC	1518	3	99	44	7.3	45982
Robeson, NC	3641	30	720	288	7	125885
Rockingham, NC	2407	4	177	62	9.4	91692
Rowan, NC	2978	7	313	131	10.2	133644
Rutherford, NC	1066	7	127	38	8.2	62779
Sampson, NC	996	4	147	41	12	62138
Scotland, NC	831	4	92	63	6.1	36403
Stanly, NC	906	2	91	33	11.1	58434
Stokes, NC	692	4	93	12	10.2	45422
Surry, NC	1390	2	197	24	13	71857
Swain, NC	238	3	24	0	11.6	13261
Transylvania, NC	306	0	32	3	10	29430
Tyrrell, NC	43	1	5	6	14.6	4097
Union, NC	2652	5	209	73	14.6	160555
Vance, NC	1734	4	133	86	9.9	42871
Wake, NC	14610	23	1496	925	13.2	753828
Warren, NC	300	3	35	9	10.8	19773
Washington, NC	198	1	14	3	7.6	13178
Watauga, NC	740	2	60	4	13.9	43471
Wayne, NC	3359	13	255	145	8.9	113221
Wilkes, NC	1161	1	103	25	9.9	66405
Wilson, NC	1731	7	160	62	8.3	75414
Yadkin, NC	501	1	54	10	17.2	37240
Yancey, NC	71	0	5	0	14.8	18039
##NORTH DAKOTA	9149	11	1009	45	7.7	635365
Adams, ND	12	0	1	0	17.6	2352
Barnes, ND	87	0	11	0	8.4	10993
Benson, ND	0	0	0	0	7.2	6902
Billings, ND	0	0	0	0	14.7	788
Bottineau, ND	48	0	4	0	12.5	6608
Bowman, ND	4	0	0	0	15.3	2965
Burke, ND	18	0	0	0	14.9	1966
Burleigh, ND	1280	1	150	8	4.8	74126
Cass, ND	2229	2	266	13	5.3	132551
Cavalier, ND	8	1	0	0	17.4	4213
Dickey, ND	40	0	2	0	12.7	5460
Divide, ND	0	0	0	0	17.9	2095
Dunn, ND	0	0	0	0	18.6	3313
Eddy, ND	13	1	0	0	11.3	2546
Emmons, ND	19	0	1	0	21	3726
Foster, ND	3	0	0	0	10.5	3523
Golden Valley, ND	0	0	0	0	16.8	1699
Grand Forks, ND	1917	1	198	6	5.2	66565
Grant, ND	5	0	0	0	24.8	2561
Griggs, ND	2	0	0	0	14.8	2470
Hettinger, ND	1	0	0	0	24.4	2487
Kidder, ND	2	0	1	0	20	2390
LaMoure, ND	6	0	1	0	13.3	4281
Logan, ND	2	0	0	0	18.5	2018
McHenry, ND	23	0	5	0	16.9	5439
McIntosh, ND	0	0	0	0	16.1	2952
McKenzie, ND	23	0	3	0	13.3	5524
McLean, ND	42	0	2	0	11.7	8438
Mercer, ND	39	0	5	0	6.6	8088
Morton, ND	417	0	43	3	6.5	25245
Mountrail, ND	25	0	9	0	12.3	6471
Nelson, ND	3	0	0	0	14.9	3379
Oliver, ND	5	0	1	0	17.2	1789
Pembina, ND	30	0	12	0	13.6	7865
Pierce, ND	36	0	3	0	11.1	4195
Ramsey, ND	275	0	23	3	5.9	11290
Ransom, ND	11	0	7	0	10.1	5748
Renville, ND	7	0	1	0	17	2401
Richland, ND	263	2	28	0	7.4	17159
Rolette, ND	91	1	8	0	10.5	13628
Sargent, ND	23	0	3	0	10.7	4117
Sheridan, ND	12	0	0	0	22.5	1406
Sioux, ND	0	0	0	0	5.4	4088
Slope, ND	1	0	0	0	19.3	685
Stark, ND	452	0	26	3	6.3	22100
Steele, ND	0	0	0	0	15.8	1970
Stutsman, ND	309	0	13	2	7.1	20766
Towner, ND	13	0	5	0	17.8	2464
Traill, ND	22	0	8	0	10.3	8121
Walsh, ND	177	0	20	1	11.8	11370
Ward, ND	962	2	96	5	6.2	56458
Wells, ND	29	0	3	0	12.5	4475
Williams, ND	163	0	50	1	7.7	19136
##OHIO	240224	556	38228	17651	6.7	11475262
Adams, OH	274	4	37	4	6.6	28177
Allen, OH	2763	5	200	140	5.8	105528
Ashland, OH	813	1	23	10	7.9	53958
Ashtabula, OH	496	0	42	2	7	102051
Athens, OH	766	1	17	4	7.6	63143
Auglaize, OH	222	0	12	4	6.6	46626
Belmont, OH	533	0	56	5	6.6	68662
Brown, OH	177	0	7	3	6.9	43660
Butler, OH	10199	6	919	412	7.1	348425
Carroll, OH	163	0	11	0	8.3	28885
Champaign, OH	648	1	37	6	7.4	39195
Clark, OH	5533	9	601	300	5.2	141543
Clermont, OH	2573	0	173	36	7	189276
Clinton, OH	806	3	23	13	6.5	42063
Columbiana, OH	461	0	41	12	5.9	109481
Coshocton, OH	0	0	0	0	7.3	36648
Crawford, OH	590	2	34	5	6.2	45159
Cuyahoga, OH	23225	120	8194	4236	4.5	1323972
Darke, OH	489	0	42	7	8.5	52639
Defiance, OH	717	0	19	4	8	38574
Delaware, OH	1788	3	132	52	10.4	149353
Erie, OH	2227	1	92	57	6.9	77778
Fairfield, OH	2364	2	252	88	6.7	137457
Fayette, OH	940	1	52	13	6.4	28212
Franklin, OH	39268	103	8524	4078	6.6	1101224
Fulton, OH	528	1	29	3	8.8	42638
Gallia, OH	590	0	61	9	8.7	30906
Geauga, OH	623	0	34	3	16.2	96876
Greene, OH	3924	1	236	75	6.5	156218
Guernsey, OH	1414	1	107	12	6.2	40606
Hamilton, OH	26546	94	3927	2812	8	847182
Hancock, OH	1809	0	61	27	8.1	73266
Hardin, OH	263	0	13	5	7.2	31697
Harrison, OH	164	0	29	3	8.2	15577
Henry, OH	385	0	15	1	9.7	29222
Highland, OH	908	1	81	8	6.5	42114
Hocking, OH	538	3	46	5	6.1	28718
Holmes, OH	231	0	16	0	8.1	41237
Huron, OH	566	1	31	3	8.2	60019
Jackson, OH	77	0	6	1	7.9	33332
Jefferson, OH	1271	1	92	40	6.2	70064
Knox, OH	71	0	2	0	8	57975
Lake, OH	3117	0	277	67	6.6	232578
Lawrence, OH	63	0	12	0	5.4	62447
Licking, OH	3337	0	478	83	6.7	153872
Logan, OH	633	7	48	15	6.7	46310
Lorain, OH	3025	6	251	163	7.6	299111
Lucas, OH	15388	30	3244	1361	5.2	464634
Madison, OH	435	1	19	4	7.2	40781
Mahoning, OH	5528	38	1083	438	5.6	245598
Marion, OH	1615	1	62	34	5.8	65712
Medina, OH	554	0	39	3	9.5	165712
Meigs, OH	139	0	21	1	7.3	23061
Mercer, OH	639	0	39	2	8.2	40755
Miami, OH	1823	1	97	22	6.2	100638
Monroe, OH	0	0	0	0	11.3	14543
Montgomery, OH	11462	36	2949	988	6.8	544833
Morgan, OH	91	0	22	0	7.8	14711
Morrow, OH	221	0	22	0	8.4	34033
Muskingum, OH	1820	1	137	53	6.1	85115
Noble, OH	0	0	0	0	7.3	13981
Ottawa, OH	179	0	5	0	9	41298
Paulding, OH	160	0	0	1	10.5	19404
Perry, OH	308	3	46	3	6.9	34780
Pickaway, OH	1365	1	90	12	6.8	52356
Pike, OH	454	0	46	2	5.8	27776
Portage, OH	3173	8	260	58	6.1	155025
Preble, OH	631	1	48	6	7.1	41886
Putnam, OH	48	1	1	0	9.1	34652
Richland, OH	4058	2	287	115	6.2	126946
Ross, OH	3121	3	247	41	8.1	74800
Sandusky, OH	1238	0	35	34	8.3	61232
Scioto, OH	3159	0	243	130	5.6	76155
Seneca, OH	570	0	17	4	8.5	57217
Shelby, OH	13	0	1	0	6.6	48501
Stark, OH	8420	6	873	488	7.3	378868
Summit, OH	13919	32	1836	745	5.3	545624
Trumbull, OH	2831	3	457	164	5.8	217034
Tuscarawas, OH	571	0	65	4	7.2	91345
Union, OH	707	1	33	10	6.2	45387
Van Wert, OH	595	2	22	5	8.3	29035
Vinton, OH	178	2	20	2	6.3	13221
Warren, OH	1369	1	121	25	6.5	194167
Washington, OH	829	0	58	9	7.7	61936
Wayne, OH	624	0	39	6	8.1	113209
Williams, OH	573	0	27	2	8.3	38392
Wood, OH	2871	1	108	34	7.4	124592
Wyandot, OH	0	0	0	0	8.4	22663
##OKLAHOMA	93744	187	13886	3229	13.2	3532769
Adair, OK	291	0	50	1	10.3	21599
Alfalfa, OK	28	0	2	0	29	5656
Atoka, OK	148	0	15	4	12.4	14288
Beaver, OK	58	0	9	0	30.8	5403
Beckham, OK	259	0	31	3	14.7	18630
Blaine, OK	104	1	11	0	18.3	12748
Bryan, OK	1006	1	149	12	11.8	37658
Caddo, OK	518	2	86	10	18.3	29689
Canadian, OK	2877	3	370	86	12.5	97147
Carter, OK	1292	3	85	30	11.8	46632
Cherokee, OK	888	2	125	13	13.5	44408
Choctaw, OK	226	3	23	9	9.5	15087
Cimarron, OK	13	0	2	0	36.8	2708
Cleveland, OK	6830	6	903	186	13.4	225835
Coal, OK	61	0	4	1	19.6	5690
Comanche, OK	3233	6	239	137	15.8	111866
Cotton, OK	31	0	3	2	17.8	6449
Craig, OK	167	0	19	2	10.6	14995
Creek, OK	1097	1	142	17	11.4	68059
Custer, OK	575	1	33	8	14.2	25501
Delaware, OK	451	1	67	1	13.6	38980
Dewey, OK	20	1	8	0	27.5	4398
Ellis, OK	7	0	5	0	29.5	3870
Garfield, OK	1884	0	109	32	17.4	56940
Garvin, OK	539	1	51	10	14	26864
Grady, OK	858	1	84	9	13	48942
Grant, OK	19	0	0	1	26.7	4656
Greer, OK	62	1	2	0	14.4	5799
Harmon, OK	52	0	1	1	25.7	2955
Harper, OK	8	0	3	0	25	3301
Haskell, OK	74	0	23	0	12.4	11952
Hughes, OK	196	0	33	2	18	13717
Jackson, OK	657	2	45	12	16	26471
Jefferson, OK	28	1	8	2	21.4	6375
Johnston, OK	55	0	12	0	11.5	10203
Kay, OK	1381	1	110	21	11.5	46079
Kingfisher, OK	119	0	17	0	21.5	14076
Kiowa, OK	87	0	19	3	13.7	9771
Latimer, OK	58	0	11	1	11.4	10485
Le Flore, OK	600	3	79	5	13.1	48852
Lincoln, OK	255	0	52	4	17.3	31987
Logan, OK	354	0	29	8	13.5	35399
Love, OK	139	0	12	0	18.4	9028
McClain, OK	358	1	66	5	19.5	29912
McCurtain, OK	689	2	129	8	12	33458
McIntosh, OK	337	0	52	6	14	19388
Major, OK	66	0	9	0	23.8	7171
Marshall, OK	153	0	18	1	19.1	14365
Mayes, OK	525	2	71	6	12	39049
Murray, OK	159	0	11	2	14.1	12566
Muskogee, OK	1379	3	162	55	13	70210
Noble, OK	199	0	20	2	12.9	11112
Nowata, OK	115	0	10	0	11.9	10621
Okfuskee, OK	158	2	31	2	10.8	11263
Oklahoma, OK	30506	53	4623	1152	11.3	685871
Okmulgee, OK	563	2	86	15	9.9	39332
Osage, OK	833	5	149	18	17.3	44952
Ottawa, OK	685	1	69	16	11.7	32475
Pawnee, OK	158	0	36	1	13.6	16470
Payne, OK	1773	0	99	13	13.4	76144
Pittsburg, OK	784	1	46	16	11.6	43910
Pontotoc, OK	697	2	64	13	10	35439
Pottawatomie, OK	1550	0	273	39	9.5	67707
Pushmataha, OK	135	1	16	1	13.8	11467
Roger Mills, OK	48	0	0	0	32.5	3261
Rogers, OK	806	0	134	8	12.2	79669
Seminole, OK	621	2	53	10	10.1	24119
Sequoyah, OK	513	1	42	8	10.5	40204
Stephens, OK	945	0	52	9	13.9	42544
Texas, OK	303	1	18	5	26.1	20021
Tillman, OK	126	0	12	6	16.1	8358
Tulsa, OK	18248	63	4190	1154	12.7	570051
Wagoner, OK	818	1	140	11	14.3	63119
Washington, OK	1211	2	84	13	13.4	48740
Washita, OK	71	0	11	0	18.3	11264
Woods, OK	130	0	13	0	13.9	8540
Woodward, OK	477	1	16	1	14.8	18849
##OREGON	112368	80	19129	2471	11.4	3617869
Baker, OR	253	0	25	3	11.6	16001
Benton, OR	2446	1	163	23	12.3	79427
Clackamas, OR	9509	6	1455	147	13.4	365411
Clatsop, OR	1194	1	84	13	12.9	36447
Columbia, OR	546	0	46	1	9.6	46987
Coos, OR	1141	1	104	15	10.2	63636
Crook, OR	394	0	27	0	17.8	21670
Curry, OR	307	0	34	5	14	22064
Deschutes, OR	4387	4	475	34	13.1	140962
Douglas, OR	2473	0	296	34	8.7	102817
Gilliam, OR	16	0	3	2	24.4	1739
Grant, OR	67	0	9	0	19.6	7092
Harney, OR	80	0	7	1	12.7	6801
Hood River, OR	128	0	23	1	17.6	20946
Jackson, OR	5863	5	486	77	11.8	194087
Jefferson, OR	356	0	69	2	12.8	19668
Josephine, OR	2149	2	318	26	10.2	79834
Klamath, OR	1296	2	188	45	11.3	65402
Lake, OR	100	0	14	0	14.1	7078
Lane, OR	11864	8	3054	190	10.1	335242
Lincoln, OR	1566	1	145	13	11.1	45442
Linn, OR	4566	1	505	44	9.6	108244
Malheur, OR	782	0	74	9	12.7	30914
Marion, OR	10534	8	1779	185	11.3	301463
Morrow, OR	168	0	26	1	18.5	11355
Multnomah, OR	30556	24	7284	1305	9.6	673823
Polk, OR	1861	2	247	24	11.7	70019
Sherman, OR	31	0	2	0	21.2	1660
Tillamook, OR	660	0	67	5	15.7	24798
Umatilla, OR	2172	1	301	26	13	72752
Union, OR	306	0	38	6	10.2	24456
Wallowa, OR	63	1	5	1	23.8	6817
Wasco, OR	731	1	83	6	11	23412
Washington, OR	11852	6	1508	203	11.5	497073
Wheeler, OR	8	0	3	0	28.5	1396
Yamhill, OR	1943	5	182	24	12.6	90934
##PENNSYLVANIA	197996	743	28108	18654	7.3	12418161
Adams, PA	878	1	70	14	11	99081
Allegheny, PA	22515	82	3600	2207	5.3	1232483
Armstrong, PA	509	6	56	12	8.3	69822
Beaver, PA	2465	8	229	122	5.7	175372
Bedford, PA	440	2	51	4	6.7	49535
Berks, PA	6638	23	1526	461	8.2	393788
Blair, PA	2004	7	132	88	8.6	125882
Bradford, PA	452	0	44	6	6.6	61747
Bucks, PA	8969	16	914	307	7.8	616047
Butler, PA	2395	1	98	27	7.7	180074
Cambria, PA	1658	3	129	57	5.3	146726
Cameron, PA	105	0	4	0	6.5	5483
Carbon, PA	773	1	46	5	7.7	61532
Centre, PA	2217	1	91	15	10.4	141643
Chester, PA	5246	7	448	171	9.4	471562
Clarion, PA	466	2	31	3	6.9	40055
Clearfield, PA	1304	2	98	8	6	81943
Clinton, PA	750	2	38	5	6.6	37169
Columbia, PA	921	0	38	7	6.6	64554
Crawford, PA	1025	2	116	17	10.7	89042
Cumberland, PA	2524	1	126	79	7.7	222735
Dauphin, PA	5701	15	371	634	7.2	253203
Delaware, PA	7822	37	1225	687	6.9	552126
Elk, PA	306	0	21	3	6.8	33225
Erie, PA	4143	8	274	246	5.1	278933
Fayette, PA	2090	6	372	119	4.4	145245
Forest, PA	66	0	16	1	13	6536
Franklin, PA	1905	0	156	55	8.3	137012
Fulton, PA	106	0	19	5	15.9	14571
Greene, PA	301	1	46	10	5.8	40009
Huntingdon, PA	404	0	24	5	6.5	45537
Indiana, PA	1228	2	101	29	14.1	87956
Jefferson, PA	422	3	42	5	7.1	45142
Juniata, PA	95	0	14	7	16.8	23146
Lackawanna, PA	2832	4	270	112	5.5	209184
Lancaster, PA	7726	6	599	303	13.2	489258
Lawrence, PA	1696	8	156	95	6.3	91929
Lebanon, PA	1794	1	167	82	8.6	124819
Lehigh, PA	7871	23	692	630	7.7	329026
Luzerne, PA	5067	13	432	235	6.9	311449
Lycoming, PA	1676	4	132	69	5.8	117687
McKean, PA	391	1	30	1	6.6	43886
Mercer, PA	1800	1	144	44	6.1	118084
Mifflin, PA	683	1	41	15	6.5	45954
Monroe, PA	2170	3	227	90	10.2	160169
Montgomery, PA	11985	17	988	614	7	772142
Montour, PA	78	0	2	4	7.7	17905
Northampton, PA	4521	6	398	164	8.8	286309
Northumberland, PA	864	4	78	13	5.6	91561
Perry, PA	357	1	34	5	9.3	44493
Philadelphia, PA	38040	377	11420	10069	5.5	1517628
Pike, PA	458	2	51	7	13.5	55357
Potter, PA	108	0	19	0	9.2	17520
Schuylkill, PA	1372	1	139	19	6.5	146059
Snyder, PA	438	0	23	2	7.5	37774
Somerset, PA	382	1	58	4	10.2	78418
Sullivan, PA	61	0	10	0	19.8	6313
Susquehanna, PA	310	0	36	5	8.5	41562
Tioga, PA	259	0	20	3	8	41059
Union, PA	159	0	13	1	7.5	42753
Venango, PA	703	0	55	14	5.5	55487
Warren, PA	344	4	20	6	7.1	41554
Washington, PA	2410	3	265	102	6.9	204874
Wayne, PA	450	0	54	5	10.3	50123
Westmoreland, PA	4260	4	383	125	6.4	364458
Wyoming, PA	244	1	31	2	10.6	27896
York, PA	7644	18	555	393	7	406555
##RHODE ISLAND	19448	34	4385	774	7	1064989
Bristol, RI	624	0	36	4	6.9	50574
Kent, RI	2921	4	452	41	6.7	170551
Newport, RI	1636	1	95	21	7.9	82794
Providence, RI	12527	26	3654	701	7.1	633405
Washington, RI	1706	1	105	5	6.7	127665
##SOUTH CAROLINA	125840	313	16374	5642	10.4	4256199
Abbeville, SC	458	2	20	6	11.2	25644
Aiken, SC	3293	9	486	99	8.4	148684
Allendale, SC	175	1	13	6	7.2	10733
Anderson, SC	5909	16	817	162	8.6	174332
Bamberg, SC	283	2	44	10	11	15734
Barnwell, SC	579	2	35	12	8.6	23038
Beaufort, SC	3643	5	373	213	21.1	139458
Berkeley, SC	3239	9	671	180	9.3	152092
Calhoun, SC	216	0	48	3	12.8	14874
Charleston, SC	11650	26	1975	911	11.8	337584
Cherokee, SC	1952	5	180	43	8.6	53522
Chester, SC	1018	2	86	21	7.2	32887
